generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
0,1,full,113500.283617,89657.333333,29807.660999,3958.333333,5461.333333,1.000000,1.000000,0.333333,473133.529691,153.604953635,1147.40776757,144.246667875,27.8246046551
0,2,full,99144.068506,79810.666667,39998.629888,3562.333333,4778.666667,1.000000,0.666667,0.333333,421271.787712,475.571092864,252.84705525,70.8103748878,25.8890914835
0,3,full,95985.888698,76940.000000,45748.892708,3461.333333,4778.666667,1.000000,0.666667,0.333333,277995.61051,616.472518504,831.312177348,119.373692691,15.2261456177
0,4,full,77241.156676,65433.333333,23843.533146,3136.000000,3413.333333,1.000000,0.666667,0.000000,425786.745317,563.269426622,1931.29323735,124.605269313,29.7932361446
0,5,full,56822.231976,48588.000000,15315.360481,2370.000000,2730.666667,1.000000,0.333333,0.000000,437768.74061,770.056682793,899.086003579,59.1941825557,26.0524613471
0,6,full,55651.299248,45829.333333,30227.348382,2142.000000,2901.333333,0.666667,0.666667,0.000000,175756.531422,227.393051843,1264.26904175,134.765283908,24.3500186085
0,7,fast,28721.244281,25734.666667,6935.114387,1377.000000,1706.666667,0.666667,0.000000,0.000000,200202.536545,914.25894317,1967.29240447,163.941274839,45.2061315715
0,8,fast,24775.987510,21680.000000,4746.916473,1156.000000,1706.666667,0.666667,0.000000,0.000000,200000,270,700,47,11
0,9,fast,23803.130449,21036.000000,11324.057694,1123.000000,1536.000000,0.666667,0.000000,0.000000,224059.027728,743.340160847,1807.79274714,139.956947064,24.1349930572
0,10,fast,20609.897493,19710.666667,15348.716805,1118.333333,1109.333333,0.333333,0.000000,0.000000,100457.127726,518.898973142,1748.44527344,56.3430666086,16.9350137746
0,11,fast,18431.906127,16996.000000,4615.210793,941.333333,1365.333333,0.333333,0.000000,0.000000,290803.910621,872.044431383,594.935389745,162.955287132,27.8862658879
0,12,fast,17260.109838,16022.666667,8584.469905,894.333333,1194.666667,0.333333,0.000000,0.000000,105616.680066,733.719452084,857.764730226,166.720545658,33.7395068604
0,13,fast,17162.634162,16108.000000,12240.650092,897.333333,1109.333333,0.333333,0.000000,0.000000,261973.65498,794.608659583,676.29417955,100.553421289,29.5857199333
0,14,fast,15141.996210,14025.333333,11000.075798,830.333333,938.666667,0.333333,0.000000,0.000000,140280.483227,462.463243681,1260.68524954,183.472100115,48.3637120208
0,15,fast,12500.767253,12842.666667,6837.988268,790.000000,768.000000,0.000000,0.000000,0.000000,448188.492843,231.513736927,1178.27040718,55.3370264369,48.4094722642
0,16,fast,7211.761244,7281.333333,1391.441778,507.000000,512.000000,0.000000,0.000000,0.000000,463245.154078,529.452513027,635.491904359,153.60279879,31.3000808371
1,1,full,101122.403760,81549.333333,35205.258143,3670.666667,4778.666667,1.000000,0.666667,0.333333,426558.044948,500.758745516,179.869205326,113.124230809,23.3004804576
1,2,full,95526.306004,75732.000000,30780.546584,3382.000000,4778.666667,1.000000,0.666667,0.333333,439530.546992,656.808785454,2000,109.00825806,33.2016289957
1,3,full,80746.187037,63925.333333,3582.925930,3004.000000,4096.000000,1.000000,1.000000,0.000000,347435.172307,436.222808781,993.709513561,123.57858961,15.1039892887
1,4,full,70883.712877,58933.333333,20992.409125,2816.000000,3413.333333,1.000000,0.666667,0.000000,246593.999269,136.319166434,814.936394915,138.93736729,16.7156120973
1,5,full,69807.988122,57586.666667,15573.570889,2752.000000,3413.333333,1.000000,0.666667,0.000000,246121.496353,72.6660141577,1135.04970196,135.915290497,24.3587011135
1,6,full,46772.598553,40810.666667,27428.028940,2002.333333,2389.333333,0.666667,0.333333,0.000000,448497.982969,777.03687974,2000,138.122195479,42.4769300785
1,7,fast,40058.937246,35658.666667,25327.921738,1785.666667,2048.000000,0.333333,0.333333,0.000000,472081.736775,200.481563563,596.417599057,125.572346158,27.8393864612
1,8,fast,38442.296423,33745.333333,6060.738202,1752.666667,2048.000000,1.000000,0.000000,0.000000,395474.484275,62.1631591808,1147.40776757,144.246667875,21.3955492822
1,9,fast,26904.351351,24106.666667,10712.972987,1259.333333,1706.666667,0.666667,0.000000,0.000000,347901.442526,644.49603401,921.906623407,50.3142333855,20.3698480067
1,10,fast,22856.724746,19818.666667,5905.505078,1036.000000,1706.666667,0.666667,0.000000,0.000000,192176.604343,334.281708247,1357.37612841,130.363235928,22.8097847468
1,11,fast,22707.628418,21464.000000,8460.764977,1199.333333,1365.333333,0.333333,0.000000,0.000000,466668.248973,50,1712.98497674,151.255263103,29.1887874406
1,12,fast,21637.251633,20201.333333,4614.967341,1107.000000,1365.333333,0.333333,0.000000,0.000000,277995.61051,616.472518504,831.312177348,119.373692691,15.2261456177
1,13,fast,21599.778697,20238.666667,6111.092719,1134.666667,1365.333333,0.333333,0.000000,0.000000,486503.636675,211.622909203,1149.74449943,144.074023223,31.3034582995
1,14,fast,19526.485964,18494.666667,12696.947385,1027.666667,1194.666667,0.333333,0.000000,0.000000,479685.920532,394.207013757,660.166888116,126.419614648,25.0177653523
1,15,fast,8426.215399,8676.000000,4995.692011,555.000000,597.333333,0.000000,0.000000,0.000000,473133.529691,153.604953635,1147.40776757,144.246667875,27.8246046551
1,16,fast,8328.729234,8497.333333,3372.081981,543.666667,597.333333,0.000000,0.000000,0.000000,421271.787712,475.571092864,252.84705525,70.8103748878,25.8890914835
2,1,full,124471.776586,100858.666667,34404.468289,4421.666667,5461.333333,1.000000,1.000000,0.333333,439530.546992,656.808785454,2000,109.00825806,33.2016289957
2,2,full,86688.950732,70074.666667,7714.318692,3229.000000,4096.000000,1.000000,1.000000,0.000000,419772.306161,463.182215838,1058.03985997,123.380298849,29.9068774823
