generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
0,1,full,30748.070970,76445.000000,25595.830578,3493.125000,4352.000000,1.000000,0.875000,0.125000,200000,287.294624735,685.70520267,70.8171551013,10.6536176932
0,2,full,29655.797735,74738.500000,26134.492299,3366.500000,4608.000000,1.000000,0.750000,0.250000,200000,360.220852949,846.572369569,40,10.0200107429
0,3,full,26597.059756,72357.500000,28771.391272,3308.625000,4352.000000,1.000000,0.875000,0.125000,200000,200,618.434266231,51.8906470905,8.80468638855
0,4,full,18211.383930,64695.500000,14955.182572,3009.250000,3840.000000,1.000000,0.875000,0.000000,200000,231.181102167,659.959841945,68.7228672397,9.79279810577
0,5,full,9007.942041,56068.000000,25002.277016,2636.750000,3328.000000,0.750000,0.750000,0.000000,200000,258.547566624,581.127251398,55.8839957891,8.13998187674
0,6,fast,3720.477971,25390.666667,4256.351280,1294.000000,2048.000000,1.000000,0.000000,0.000000,200000,280.751789236,600.268094167,40,11.4187975211
0,7,fast,2309.715170,24134.666667,11994.491328,1260.333333,1536.000000,0.666667,0.000000,0.000000,200000,423.984785718,480.445818553,75.206006514,16.1429315654
0,8,fast,0.000000,21680.000000,4746.916473,1156.000000,1706.666667,0.666667,0.000000,0.000000,200000,270,700,47,11
0,9,fast,-1317.450819,20385.333333,5886.124097,1141.333333,1365.333333,0.333333,0.000000,0.000000,200000,446.788933233,1267.60277549,66.8301964576,12.8536785295
0,10,validation,-2457.658550,65764.000000,25589.462394,3019.600000,4096.000000,1.000000,0.800000,0.100000,200000,287.294624735,685.70520267,70.8171551013,10.6536176932
0,11,fast,-2845.353022,18812.000000,3614.567563,1055.666667,1365.333333,0.333333,0.000000,0.000000,200000,414.247159938,516.270088855,57.5133490919,7
0,12,fast,-6297.557324,15410.666667,6158.116018,871.000000,1194.666667,0.333333,0.000000,0.000000,200000,200,766.266400607,76.4040202553,8.07267837393
0,13,fast,-13424.189487,8225.333333,3223.057486,530.666667,682.666667,0.000000,0.000000,0.000000,200000,295.533545751,967.510740621,66.2477521477,24.4157245052
1,1,full,26728.160777,77702.000000,31599.311511,3537.125000,4480.000000,0.875000,0.750000,0.250000,200000,401.350214761,473.27815195,69.9491197063,16.0871903147
1,2,full,21956.883044,72476.500000,40138.198188,3206.875000,4736.000000,0.875000,0.625000,0.375000,200000,360.220852949,846.572369569,40,10.0200107429
1,3,full,21956.883044,72476.500000,40138.198188,3206.875000,4736.000000,0.875000,0.625000,0.375000,200000,360.220852949,846.572369569,40,10.0200107429
1,4,full,21956.883044,72476.500000,40138.198188,3206.875000,4736.000000,0.875000,0.625000,0.375000,200000,360.220852949,846.572369569,40,10.0200107429
1,5,full,19927.086236,71917.000000,44903.038594,3265.500000,4096.000000,1.000000,0.500000,0.250000,200000,225.907400839,606.863664118,48.814924081,8.02682822531
1,6,fast,15098.649021,39797.333333,15786.791554,1982.333333,2730.666667,1.000000,0.333333,0.000000,200000,287.294624735,685.70520267,70.8171551013,10.6536176932
1,7,fast,12627.793114,38018.666667,396.253566,1995.666667,2048.000000,1.000000,0.000000,0.000000,200000,200,650.904062943,60.7143166139,9.04944172585
1,8,fast,6272.283049,31725.333333,3505.090140,1665.333333,2048.000000,1.000000,0.000000,0.000000,200000,317.517386574,703.192185299,69.9337121577,10.8311836703
1,9,fast,4692.588816,30333.333333,12889.801791,1612.000000,1706.666667,0.666667,0.000000,0.000000,200000,265.833432108,581.127251398,55.8839957891,8.13998187674
1,10,fast,4052.794503,29621.333333,9279.517420,1580.333333,1706.666667,0.666667,0.000000,0.000000,200000,210.134027209,605.688872274,66.7660938121,8.63524869823
1,11,validation,1036.720918,71664.000000,13011.046999,3340.200000,3891.200000,1.000000,0.900000,0.000000,200000,401.350214761,473.27815195,69.9491197063,16.0871903147
1,12,fast,-2724.442180,22900.000000,12074.684923,1261.000000,1365.333333,0.333333,0.000000,0.000000,200000,241.336172811,592.190404755,62.1525570363,9.48138931643
1,13,fast,-4649.793543,20781.333333,2408.919721,1101.333333,1706.666667,0.666667,0.000000,0.000000,200000,346.430616067,773.368916488,49.0055093904,13.3315374403
2,1,full,20735.315991,90061.500000,42502.858630,4047.875000,4736.000000,0.875000,0.875000,0.250000,200000,287.477686823,857.444916955,51.1241444633,8.52481002783
2,2,validation,16275.109380,67155.200000,34217.738361,3034.100000,4198.400000,0.900000,0.700000,0.200000,200000,287.477686823,857.444916955,51.1241444633,8.52481002783
2,3,fast,8003.266296,30144.000000,13904.271957,1483.000000,2389.333333,0.666667,0.333333,0.000000,200000,200,552.95972832,71.3253374842,9.07132163274
2,4,fast,7336.381770,30405.333333,10315.164931,1615.000000,1706.666667,0.666667,0.000000,0.000000,200000,374.084234481,639.94291031,65.5458799669,10.5872551055
2,5,full,3956.589671,73384.500000,28839.174637,3310.250000,4608.000000,1.000000,0.750000,0.250000,200000,283.437134934,856.543495293,40,10.0384976102
2,6,full,-2580.464227,67801.500000,14041.869525,3117.625000,4096.000000,1.000000,1.000000,0.000000,200000,401.350214761,473.27815195,69.9491197063,16.0871903147
2,7,fast,-4164.802071,18884.000000,9307.690297,1004.000000,1536.000000,0.666667,0.000000,0.000000,200000,360.220852949,846.572369569,40,10.0200107429
2,8,fast,-4164.802071,18884.000000,9307.690297,1004.000000,1536.000000,0.666667,0.000000,0.000000,200000,360.220852949,846.572369569,40,10.0200107429
2,9,fast,-4164.802071,18884.000000,9307.690297,1004.000000,1536.000000,0.666667,0.000000,0.000000,200000,360.220852949,846.572369569,40,10.0200107429
2,10,fast,-5635.292872,17413.333333,9298.897043,983.000000,1194.666667,0.333333,0.000000,0.000000,200000,282.174470691,703.192185299,69.9337121577,10.8311836703
2,11,fast,-9116.157682,13961.333333,10742.137507,808.000000,1024.000000,0.333333,0.000000,0.000000,200000,234.880552888,898.526393806,40.4004707238,7
2,12,full,-10430.960702,60767.000000,17341.693314,2865.625000,3584.000000,1.000000,0.750000,0.000000,200000,412.985087809,438.720627319,40,15.2913873264
2,13,full,-15642.657529,55953.500000,31001.534668,2638.625000,3328.000000,1.000000,0.375000,0.125000,200000,383.342875784,473.27815195,69.9491197063,16.0871903147
3,1,full,31559.348338,76225.500000,24657.578789,3490.125000,4352.000000,1.000000,0.875000,0.125000,200000,347.793109255,820.774225981,43.0569738978,8.14653024627
3,2,full,21326.320337,66633.500000,37958.978855,3015.000000,3968.000000,0.875000,0.750000,0.125000,200000,287.477686823,857.444916955,51.1241444633,8.52481002783
3,3,full,15184.802247,61276.500000,39684.883341,2837.375000,3584.000000,1.000000,0.500000,0.125000,200000,200,552.95972832,71.3253374842,9.07132163274
3,4,full,10222.212549,56572.500000,21364.368227,2687.750000,3200.000000,0.875000,0.625000,0.000000,200000,432.547302936,565.23173565,75.3020068156,9.42735557558
3,5,full,8217.902323,54226.500000,23029.879543,2558.500000,3392.000000,0.875000,0.750000,0.000000,200000,283.869570515,756.281899274,72.8339822507,8.52436556299
3,6,fast,-7026.234312,26126.666667,16493.892311,1270.000000,2218.666667,0.666667,0.333333,0.000000,200000,297.27985693,610.007851568,76.9637854399,7.97282736867
3,7,fast,-9413.166478,24617.333333,10373.833921,1309.666667,1706.666667,0.666667,0.000000,0.000000,200000,365.936368472,845.473351474,48.8108495871,9.56436314004
3,8,fast,-11855.086612,22140.000000,8603.173988,1185.666667,1706.666667,0.666667,0.000000,0.000000,200000,200,635.318740104,54.1609735122,9.19723575146
3,9,fast,-14448.505193,19634.666667,13007.436369,1092.333333,1194.666667,0.333333,0.000000,0.000000,200000,360.220852949,846.572369569,40,10.0200107429
3,10,fast,-14448.505193,19634.666667,13007.436369,1092.333333,1194.666667,0.333333,0.000000,0.000000,200000,360.220852949,846.572369569,40,10.0200107429
3,11,fast,-15605.868160,18394.666667,8875.584688,1054.000000,1194.666667,0.333333,0.000000,0.000000,200000,276.513276966,534.491800603,70.4744324967,7
3,12,fast,-17191.852043,16798.666667,8374.778856,950.333333,1194.666667,0.333333,0.000000,0.000000,200000,291.645684513,654.279724462,64.4256332557,8.93305430565
3,13,validation,-35624.818744,68625.200000,35596.849885,3135.200000,4096.000000,1.000000,0.800000,0.100000,200000,347.793109255,820.774225981,43.0569738978,8.14653024627
4,1,validation,19454.516239,83547.200000,43867.497355,3684.000000,4915.200000,1.000000,0.800000,0.300000,200000,358.74614556,859.289003976,50.3206350551,8.27190915291
4,2,full,7015.352862,80994.500000,22449.330229,3641.375000,4864.000000,1.000000,0.875000,0.250000,200000,358.74614556,859.289003976,50.3206350551,8.27190915291
4,3,full,5638.044923,80085.000000,14589.727174,3640.250000,4608.000000,1.000000,1.000000,0.125000,200000,347.793109255,820.774225981,43.0569738978,8.14653024627
4,4,full,-5753.670367,70064.000000,14375.491644,3270.500000,3840.000000,1.000000,0.875000,0.000000,200000,234.144565625,922.499588417,72.1852428472,8.71497328133
4,5,full,-6816.703995,68061.000000,17377.173044,3099.750000,4352.000000,1.000000,0.875000,0.125000,200000,200,665.430357364,76.0404433773,8.68984290588
4,6,fast,-9317.517406,33406.666667,29949.672512,1672.000000,1877.333333,0.333333,0.333333,0.000000,200000,302.542925352,483.562264162,55.9034240073,9.183842915
4,7,full,-10579.333280,65211.500000,25533.637300,3053.500000,3840.000000,1.000000,0.625000,0.125000,200000,256.484338848,529.591390994,66.6631731897,8.67045131378
4,8,fast,-12029.190098,31178.666667,4133.307097,1640.666667,2048.000000,1.000000,0.000000,0.000000,200000,347.793109255,815.796760461,43.0569738978,8.14653024627
